Player,Place,Score,Kills,Kill Assists,Suicides,Suicides Assists,Walls Damaged,Bombs Placed,Explosions Dodged,Sit on Bomb,Stand in Place
Empty,5,30,0,0,0,0,0,0,0,0,13
kitzkar,2,103,0,2,0,0,0,25,17,2,23
Dumb,2,103,0,1,0,0,0,34,17,15,28
Bhaal,0,0,0,0,0,0,0,0,0,0,0
