Player,Place,Score,Kills,Kill Assists,Suicides,Suicides Assists,Walls Damaged,Bombs Placed,Explosions Dodged,Sit on Bomb,Stand in Place
Bhaal,2,99,0,0,0,0,0,39,17,9,15
kitzkar,2,90,0,0,0,0,0,30,17,2,11
