Player,Place,Score,Kills,Kill Assists,Suicides,Suicides Assists,Walls Damaged,Bombs Placed,Explosions Dodged,Sit on Bomb,Stand in Place
kitzkar,3,55,0,0,0,1,5,5,2,0,12
Bhaal,0,0,0,0,0,0,0,0,0,0,0
