Player,Place,Score,Kills,Kill Assists,Suicides,Suicides Assists,Walls Damaged,Bombs Placed,Explosions Dodged,Sit on Bomb,Stand in Place
kitzkar,4,42,0,0,0,0,0,2,4,0,18
Bhaal,1,122,1,0,0,0,0,32,11,7,15
Dumb,4,44,0,0,0,1,0,4,2,0,0
