Player,Place,Score,Kills,Kill Assists,Suicides,Suicides Assists,Walls Damaged,Bombs Placed,Explosions Dodged,Sit on Bomb,Stand in Place
kitzkar,0,1,0,0,0,0,0,1,1,0,3
Empty,0,0,0,0,0,0,0,0,0,0,14
Bhaal,0,2,0,0,0,0,0,2,0,0,1
