Player,Place,Score,Kills,Kill Assists,Suicides,Suicides Assists,Walls Damaged,Bombs Placed,Explosions Dodged,Sit on Bomb,Stand in Place
Empty,3,50,0,0,0,0,0,0,0,0,53
Bhaal,2,118,1,0,0,0,12,38,14,3,18
kitzkar,2,95,0,0,0,0,10,35,9,0,18
