Player,Place,Score,Kills,Kill Assists,Suicides,Suicides Assists,Walls Damaged,Bombs Placed,Explosions Dodged,Sit on Bomb,Stand in Place
kitzkar,3,55,0,0,0,0,0,5,7,0,7
Empty,4,40,0,0,0,0,0,0,0,0,17
Bhaal,3,66,0,1,0,1,0,7,4,0,1
