Player,Place,Score,Kills,Kill Assists,Suicides,Suicides Assists,Walls Damaged,Bombs Placed,Explosions Dodged,Sit on Bomb,Stand in Place
kitzkar,2,105,1,0,0,0,7,25,9,0,44
Bhaal,2,109,1,0,0,0,10,29,11,7,19
Empty,3,50,0,0,0,0,0,0,0,0,76
